variable,max_lat,min_lat,max_lon,min_lon,start_datetime,end_datetime,temporal_resolution,spatial_resolution,aggregation,file_path
AODANA,88.75,60.75,-11.5625,-69.0625,2020-01-01,2020-12-31 00:00:00,day,2,mean,/home/uribe055/merra_2/data_yr/2020_2_day_mean.nc
AODANA,89.25,60.25,-10.9375,-69.6875,2019-12-31,2019-12-31 00:00:00,year,1,mean,/home/uribe055/merra_2/data_yr/2019_1_year_mean.nc
AODANA,88.75,60.75,-11.5625,-69.0625,2015-12-31,2015-12-31 00:00:00,year,2,min,/home/uribe055/merra_2/data_yr/2015_2_year_min.nc
AODANA,88.75,60.75,-11.5625,-69.0625,2015-01-01,2024-12-31 21:00:00,hour,2,max,/home/uribe055/merra_2/data_yr/2021_2_hour_max.nc
AODANA,88.75,60.75,-11.5625,-69.0625,2023-01-31,2023-12-31 00:00:00,month,2,min,/home/uribe055/merra_2/data_yr/2023_2_month_min.nc
AODANA,89.25,60.25,-10.9375,-69.6875,2023-12-31,2023-12-31 00:00:00,year,1,max,/home/uribe055/merra_2/data_yr/2023_1_year_max.nc
AODANA,88.75,60.75,-11.5625,-69.0625,2019-01-31,2019-12-31 00:00:00,month,2,max,/home/uribe055/merra_2/data_yr/2019_2_month_max.nc
AODANA,88.75,60.75,-11.5625,-69.0625,2017-01-01,2017-12-31 00:00:00,day,2,min,/home/uribe055/merra_2/data_yr/2017_2_day_min.nc
AODANA,88.75,60.75,-11.5625,-69.0625,2021-01-01,2021-12-31 00:00:00,day,2,min,/home/uribe055/merra_2/data_yr/2021_2_day_min.nc
AODANA,89.25,60.25,-10.9375,-69.6875,2015-01-01,2015-12-31 00:00:00,day,1,min,/home/uribe055/merra_2/data_yr/2015_1_day_min.nc
AODANA,89.25,60.25,-10.9375,-69.6875,2015-01-01,2024-12-31 21:00:00,hour,1,min,/home/uribe055/merra_2/data_yr/2019_1_hour_min.nc
AODANA,89.25,60.25,-10.9375,-69.6875,2015-01-01,2024-12-31 21:00:00,hour,1,mean,/home/uribe055/merra_2/data_yr/2022_1_hour_mean.nc
AODANA,89.25,60.25,-10.9375,-69.6875,2015-12-31,2015-12-31 00:00:00,year,1,min,/home/uribe055/merra_2/data_yr/2015_1_year_min.nc
AODANA,90.0,60.0,-10.0,-70.0,2019-01-31,2019-12-31 00:00:00,month,0,max,/home/uribe055/merra_2/data_yr/2019_0_month_max.nc
AODANA,89.25,60.25,-10.9375,-69.6875,2015-01-31,2015-12-31 00:00:00,month,1,max,/home/uribe055/merra_2/data_yr/2015_1_month_max.nc
AODANA,88.75,60.75,-11.5625,-69.0625,2015-01-01,2024-12-31 21:00:00,hour,2,max,/home/uribe055/merra_2/data_yr/2015_2_hour_max.nc
AODANA,90.0,60.0,-10.0,-70.0,2023-01-31,2023-12-31 00:00:00,month,0,mean,/home/uribe055/merra_2/data_yr/2023_0_month_mean.nc
AODANA,90.0,60.0,-10.0,-70.0,2015-01-31,2015-12-31 00:00:00,month,0,min,/home/uribe055/merra_2/data_yr/2015_0_month_min.nc
AODANA,89.25,60.25,-10.9375,-69.6875,2023-12-31,2023-12-31 00:00:00,year,1,min,/home/uribe055/merra_2/data_yr/2023_1_year_min.nc
AODANA,90.0,60.0,-10.0,-70.0,2021-12-31,2021-12-31 00:00:00,year,0,max,/home/uribe055/merra_2/data_yr/2021_0_year_max.nc
AODANA,90.0,60.0,-10.0,-70.0,2020-12-31,2020-12-31 00:00:00,year,0,max,/home/uribe055/merra_2/data_yr/2020_0_year_max.nc
AODANA,89.25,60.25,-10.9375,-69.6875,2019-01-31,2019-12-31 00:00:00,month,1,min,/home/uribe055/merra_2/data_yr/2019_1_month_min.nc
AODANA,89.25,60.25,-10.9375,-69.6875,2015-01-01,2024-12-31 21:00:00,hour,1,min,/home/uribe055/merra_2/data_yr/2023_1_hour_min.nc
AODANA,90.0,60.0,-10.0,-70.0,2017-01-01,2017-12-31 21:00:00,hour,0,none,/home/uribe055/merra_2/data_yr/2017.nc
AODANA,90.0,60.0,-10.0,-70.0,2017-01-01,2017-12-31 00:00:00,day,0,min,/home/uribe055/merra_2/data_yr/2017_0_day_min.nc
AODANA,88.75,60.75,-11.5625,-69.0625,2024-12-31,2024-12-31 00:00:00,year,2,min,/home/uribe055/merra_2/data_yr/2024_2_year_min.nc
AODANA,89.25,60.25,-10.9375,-69.6875,2024-12-31,2024-12-31 00:00:00,year,1,mean,/home/uribe055/merra_2/data_yr/2024_1_year_mean.nc
AODANA,88.75,60.75,-11.5625,-69.0625,2020-12-31,2020-12-31 00:00:00,year,2,min,/home/uribe055/merra_2/data_yr/2020_2_year_min.nc
AODANA,90.0,60.0,-10.0,-70.0,2024-12-31,2024-12-31 00:00:00,year,0,mean,/home/uribe055/merra_2/data_yr/2024_0_year_mean.nc
AODANA,89.25,60.25,-10.9375,-69.6875,2015-01-01,2024-12-31 21:00:00,hour,1,min,/home/uribe055/merra_2/data_yr/2024_1_hour_min.nc
AODANA,90.0,60.0,-10.0,-70.0,2020-01-01,2020-12-31 00:00:00,day,0,mean,/home/uribe055/merra_2/data_yr/2020_0_day_mean.nc
AODANA,88.75,60.75,-11.5625,-69.0625,2015-01-01,2015-12-31 00:00:00,day,2,mean,/home/uribe055/merra_2/data_yr/2015_2_day_mean.nc
AODANA,88.75,60.75,-11.5625,-69.0625,2021-12-31,2021-12-31 00:00:00,year,2,max,/home/uribe055/merra_2/data_yr/2021_2_year_max.nc
AODANA,88.75,60.75,-11.5625,-69.0625,2015-01-01,2024-12-31 21:00:00,hour,2,max,/home/uribe055/merra_2/data_yr/2022_2_hour_max.nc
AODANA,88.75,60.75,-11.5625,-69.0625,2019-01-01,2019-12-31 00:00:00,day,2,min,/home/uribe055/merra_2/data_yr/2019_2_day_min.nc
AODANA,90.0,60.0,-10.0,-70.0,2021-01-01,2021-12-31 00:00:00,day,0,mean,/home/uribe055/merra_2/data_yr/2021_0_day_mean.nc
AODANA,89.25,60.25,-10.9375,-69.6875,2016-12-31,2016-12-31 00:00:00,year,1,mean,/home/uribe055/merra_2/data_yr/2016_1_year_mean.nc
AODANA,89.25,60.25,-10.9375,-69.6875,2019-01-01,2019-12-31 00:00:00,day,1,mean,/home/uribe055/merra_2/data_yr/2019_1_day_mean.nc
AODANA,88.75,60.75,-11.5625,-69.0625,2018-01-31,2018-12-31 00:00:00,month,2,min,/home/uribe055/merra_2/data_yr/2018_2_month_min.nc
