sys,t_res,s_res,filter_value,tr,ta,total_time
Polaris-MERRA2,hour,0.25,205,4.583468914031982,0,4.583468914031982
Polaris-MERRA2,hour,0.25,240,4.021623849868774,0,4.021623849868774
Polaris-MERRA2,hour,0.25,310,3.9768311977386475,0,3.9768311977386475
Polaris-MERRA2,hour,0.25,275,3.9975626468658447,0,3.9975626468658447
Polaris-MERRA2,hour,0.25,205,3.9907114505767822,0,3.9907114505767822
Polaris-MERRA2,hour,0.25,240,3.9159786701202393,0,3.9159786701202393
Polaris-MERRA2,hour,0.25,310,3.904785394668579,0,3.904785394668579
Polaris-MERRA2,hour,0.25,275,3.9453043937683105,0,3.9453043937683105
Polaris-MERRA2,hour,0.25,205,3.959444522857666,0,3.959444522857666
Polaris-MERRA2,hour,0.25,240,3.9756484031677246,0,3.9756484031677246
Polaris-MERRA2,hour,0.25,310,4.007793426513672,0,4.007793426513672
Polaris-MERRA2,hour,0.25,275,4.005851984024048,0,4.005851984024048
Polaris-MERRA2,hour,1.0,205,0.9394228458404541,0,0.9394228458404541
Polaris-MERRA2,hour,1.0,240,0.9202334880828857,0,0.9202334880828857
Polaris-MERRA2,hour,1.0,310,0.9207637310028076,0,0.9207637310028076
Polaris-MERRA2,hour,1.0,275,0.9118108749389648,0,0.9118108749389648
Polaris-MERRA2,hour,1.0,205,0.9131228923797607,0,0.9131228923797607
Polaris-MERRA2,hour,1.0,240,0.9233648777008057,0,0.9233648777008057
Polaris-MERRA2,hour,1.0,310,0.9227864742279053,0,0.9227864742279053
Polaris-MERRA2,hour,1.0,275,0.9131085872650146,0,0.9131085872650146
Polaris-MERRA2,hour,1.0,205,0.9126133918762207,0,0.9126133918762207
Polaris-MERRA2,hour,1.0,240,0.9184789657592773,0,0.9184789657592773
Polaris-MERRA2,hour,1.0,310,0.9217438697814941,0,0.9217438697814941
Polaris-MERRA2,hour,1.0,275,0.9183712005615234,0,0.9183712005615234
Polaris-MERRA2,month,0.5,205,0.031826019287109375,0,0.031826019287109375
Polaris-MERRA2,month,0.5,240,0.03157782554626465,0,0.03157782554626465
Polaris-MERRA2,month,0.5,310,0.0312504768371582,0,0.0312504768371582
Polaris-MERRA2,month,0.5,275,0.030695199966430664,0,0.030695199966430664
Polaris-MERRA2,month,0.5,205,0.029293298721313477,0,0.029293298721313477
Polaris-MERRA2,month,0.5,240,0.03130388259887695,0,0.03130388259887695
Polaris-MERRA2,month,0.5,310,0.031041383743286133,0,0.031041383743286133
Polaris-MERRA2,month,0.5,275,0.03128623962402344,0,0.03128623962402344
Polaris-MERRA2,month,0.5,205,0.029336214065551758,0,0.029336214065551758
Polaris-MERRA2,month,0.5,240,0.031255483627319336,0,0.031255483627319336
Polaris-MERRA2,month,0.5,310,0.031042098999023438,0,0.031042098999023438
Polaris-MERRA2,month,0.5,275,0.031497955322265625,0,0.031497955322265625
Polaris-MERRA2,year,0.25,205,0.029026269912719727,0,0.029026269912719727
Polaris-MERRA2,year,0.25,240,0.030838966369628906,0,0.030838966369628906
Polaris-MERRA2,year,0.25,310,0.030484914779663086,0,0.030484914779663086
Polaris-MERRA2,year,0.25,275,0.030861854553222656,0,0.030861854553222656
Polaris-MERRA2,year,0.25,205,0.028820276260375977,0,0.028820276260375977
Polaris-MERRA2,year,0.25,240,0.030556440353393555,0,0.030556440353393555
Polaris-MERRA2,year,0.25,310,0.030434846878051758,0,0.030434846878051758
Polaris-MERRA2,year,0.25,275,0.03065657615661621,0,0.03065657615661621
Polaris-MERRA2,year,0.25,205,0.02878117561340332,0,0.02878117561340332
Polaris-MERRA2,year,0.25,240,0.0305325984954834,0,0.0305325984954834
Polaris-MERRA2,year,0.25,310,0.030399322509765625,0,0.030399322509765625
Polaris-MERRA2,year,0.25,275,0.030697107315063477,0,0.030697107315063477
Polaris-MERRA2,year,1.0,205,0.02905869483947754,0,0.02905869483947754
Polaris-MERRA2,year,1.0,240,0.030376434326171875,0,0.030376434326171875
Polaris-MERRA2,year,1.0,310,0.030138254165649414,0,0.030138254165649414
Polaris-MERRA2,year,1.0,275,0.030566930770874023,0,0.030566930770874023
Polaris-MERRA2,year,1.0,205,0.028474092483520508,0,0.028474092483520508
Polaris-MERRA2,year,1.0,240,0.030216455459594727,0,0.030216455459594727
Polaris-MERRA2,year,1.0,310,0.030047893524169922,0,0.030047893524169922
Polaris-MERRA2,year,1.0,275,0.030284643173217773,0,0.030284643173217773
Polaris-MERRA2,year,1.0,205,0.028481245040893555,0,0.028481245040893555
Polaris-MERRA2,year,1.0,240,0.030299901962280273,0,0.030299901962280273
Polaris-MERRA2,year,1.0,310,0.030016422271728516,0,0.030016422271728516
Polaris-MERRA2,year,1.0,275,0.030304431915283203,0,0.030304431915283203
Polaris-ERA5,hour,0.25,205,0.9211440086364746,0,0.9211440086364746
Polaris-ERA5,hour,0.25,240,5.3374342918396,0,5.3374342918396
Polaris-ERA5,hour,0.25,310,0.10241007804870605,0,0.10241007804870605
Polaris-ERA5,hour,0.25,275,5.786587953567505,0,5.786587953567505
Polaris-ERA5,hour,0.25,205,0.10314154624938965,0,0.10314154624938965
Polaris-ERA5,hour,0.25,240,5.209534645080566,0,5.209534645080566
Polaris-ERA5,hour,0.25,310,0.1008448600769043,0,0.1008448600769043
Polaris-ERA5,hour,0.25,275,5.771972179412842,0,5.771972179412842
Polaris-ERA5,hour,0.25,205,0.10301470756530762,0,0.10301470756530762
Polaris-ERA5,hour,0.25,240,5.210712432861328,0,5.210712432861328
Polaris-ERA5,hour,0.25,310,0.10326266288757324,0,0.10326266288757324
Polaris-ERA5,hour,0.25,275,5.78689432144165,0,5.78689432144165
Polaris-ERA5,hour,1.0,205,0.10249853134155273,0,0.10249853134155273
Polaris-ERA5,hour,1.0,240,5.19601845741272,0,5.19601845741272
Polaris-ERA5,hour,1.0,310,0.10359573364257812,0,0.10359573364257812
Polaris-ERA5,hour,1.0,275,5.788532495498657,0,5.788532495498657
Polaris-ERA5,hour,1.0,205,0.10187315940856934,0,0.10187315940856934
Polaris-ERA5,hour,1.0,240,5.20400071144104,0,5.20400071144104
Polaris-ERA5,hour,1.0,310,0.1019749641418457,0,0.1019749641418457
